label,moderator,level,k_re,n,secs,converged,singular,logLik,AIC,semXfam,semXfam_se,semXfam_z,semXfam_p,semXfam_raw,visXfam,visXfam_se,visXfam_z,visXfam_p,visXfam_raw,fam_sd,lrt_chisq,lrt_df,lrt_p,mod
arm_us_charismatic,arm,L1,41,292349,833.070740222931,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_charismatic,arm,L2,33,292349,369.13857626915,True,False,-521595.770105081,1043271.54021016,0.0227285754513237,0.0136336315559822,1.66709620675871,0.0954952762922496,0.0227285754513237,-0.0212176705490995,0.0099852045682965,-2.12491095239716,0.0335940439073866,-0.0212176705490995,1.0,,,,arm
arm_us_charismatic,arm,L3,23,292349,289.144535779953,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_charismatic,arm,L4,12,292349,132.408761978149,True,False,-521878.259845406,1043794.51969081,0.0075207348021674,0.008881064394556,0.84682809042321,0.397090948552797,0.0075207348021674,-0.0298802265029473,0.0082459639536405,-3.62361837511492,0.0002905101529057,-0.0298802265029473,1.0,,,,arm
arm_us_charismatic,arm,L5,8,292349,122.824511289597,True,False,-522631.47460249,1045292.94920498,0.0139172372226108,0.0087296528356136,1.59424864707492,0.110880354572652,0.0139172372226108,-0.033025399422838,0.0082510479790213,-4.00257028038216,6.26580464341363e-05,-0.033025399422838,1.0,1506.42951416899,4.0,0.0,arm
arm_us_charismatic,arm,L6,3,292349,53.0144255161285,True,False,-523123.253937483,1046266.50787497,0.0101938310656228,0.0079312748095677,1.2852701880063,0.198697884076695,0.0101938310656228,-0.0280595828241925,0.0076985337569211,-3.64479571177646,0.000267604283256,-0.0280595828241925,1.0,983.558669985621,5.0,2.17917295182576e-210,arm
arm_us_competent,arm,L0,63,287128,2219.69418025017,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_competent,arm,L1,41,287128,779.901465415955,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_competent,arm,L2,33,287128,620.829920291901,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_competent,arm,L3,23,287128,277.320644378662,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_competent,arm,L4,12,287128,118.136202812195,True,False,-471063.725336795,942165.450673591,-0.0012293710634737,0.0077323421538351,-0.158990773948616,0.873676142695372,-0.0012293710634737,-0.0258948169935214,0.007016108505489,-3.69076632342028,0.0002235794623042,-0.0258948169935214,1.0,,,,arm
arm_us_competent,arm,L5,8,287128,96.5819072723389,True,False,-472357.788566464,944745.577132927,-0.0006016198003547,0.0076361513980991,-0.0787857349848369,0.937203050608089,-0.0006016198003547,-0.0229017717901381,0.007033994265924,-3.25587012504192,0.0011304544823229,-0.0229017717901381,1.0,2588.12645933614,4.0,0.0,arm
arm_us_competent,arm,L6,3,287128,50.419764995575,True,False,-472840.672784276,945701.345568553,0.0009051608972319,0.0068780856242418,0.131600702096774,0.895300130163687,0.0009051608972319,-0.0226489046553434,0.0066592721196544,-3.40110814641385,0.0006711327116639,-0.0226489046553434,1.0,965.768435625476,5.0,1.54712529738631e-206,arm
arm_us_critical,arm,L0,63,283961,565.927487134933,True,False,-525774.201316011,1051688.40263202,0.0059915945185626,0.0192199966838419,0.311737541744726,0.755239994485104,0.0059915945185626,-0.0051839881104815,0.0129703001136624,-0.399681431042675,0.68939117059497,-0.0051839881104815,1.0,,,,arm
arm_us_critical,arm,L1,41,283961,709.351154088974,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_critical,arm,L2,33,283961,568.183565378189,False,,,,,,,,,,,,,,1.0,,,,arm
arm_us_critical,arm,L3,23,283961,147.648228883743,True,False,-526000.015058862,1052060.03011772,-0.004878456320108,0.0129557694757593,-0.376547014767113,0.70651027013484,-0.004878456320108,-0.0131785063109861,0.0095865376234524,-1.3746888426898,0.169227931739348,-0.0131785063109861,1.0,,,,arm
arm_us_critical,arm,L4,12,283961,102.743251800537,True,False,-526050.814660008,1052139.62932002,-0.0020362083709352,0.0095951547524637,-0.21221214492788,0.831941532233662,-0.0020362083709352,-0.0139798418622242,0.0088149152205289,-1.58593038191301,0.112755102929262,-0.0139798418622242,1.0,101.599202293437,11.0,8.60876066950058e-17,arm
