participant,unique_sem,unique_vis,shared,total_r2
196,0.02481865839827735,0.03490389705861574,0.013126147632992247,0.07284870308988534
197,0.017628727340704198,0.037501043336161,0.011568125898464898,0.0666978965753301
198,0.08092548461787175,0.06526524149034707,0.032367442906229504,0.17855816901444832
199,0.013569672292919277,0.0005772484446445736,0.0015382663900522786,0.01568518712761613
200,0.03146526901242197,0.012063834314709476,0.008825857902510226,0.05235496122964167
201,0.03613890251034346,0.01865045440437907,0.0116505283112871,0.06643988522600963
202,0.0751090902866105,0.043403226278021845,0.02555450902413514,0.1440668255887675
203,0.007792993709807794,0.017029775890066268,0.005187253909431089,0.03001002350930515
204,0.009170228802320213,0.019860389414523505,0.006075005590697624,0.03510562380754134
205,0.0878850173209994,0.07318807539305505,0.03571046748184603,0.1967835601959005
206,0.09531192307594383,0.07194192880206285,0.03690324657928268,0.20415709845728935
207,0.017903635465935208,0.045729135221489914,0.012951709226222463,0.07658447991364759
208,0.028562874081410228,0.04508198992886281,0.016031915775793326,0.08967677978606636
209,0.023330570055229205,0.0317473687208264,0.012132449524848377,0.06721038830090398
210,0.020747769319825138,0.028825021390916583,0.010904687776267519,0.06047747848700924
211,0.019979543917057696,0.021784976535022427,0.009284784473672536,0.05104930492575266
212,0.001113736669030585,0.024793680332368506,0.0028657821541406836,0.028773199155539775
213,0.03544190193688035,0.007858236989795375,0.00776600069237432,0.051066139619050044
